purchase_month,revenue,orders,customers,aov
2016-09,267.36,4,4,66.84
2016-10,49507.66,324,321,152.80141975308644
2016-12,10.9,1,1,10.9
2017-01,120312.87,800,765,150.3910875
2017-02,247303.02,1780,1755,138.9342808988764
2017-03,374344.3,2682,2642,139.57654735272183
2017-04,359927.23,2404,2372,149.7201455906822
2017-05,506071.14,3700,3625,136.7759837837838
2017-06,433038.6,3245,3180,133.44795069337442
2017-07,498031.48,4026,3947,123.7037953303527
2017-08,573971.68,4331,4246,132.52636342646042
2017-09,624401.6900000001,4285,4212,145.71801400233375
2017-10,664219.43,4631,4561,143.4289419131937
2017-11,1010271.37,7544,7430,133.9172017497349
2017-12,743914.17,5673,5603,131.13241142252778
2018-01,950030.36,7269,7166,130.69615628009353
2018-02,844178.71,6728,6569,125.47245986920332
2018-03,983213.4400000001,7211,7115,136.349111080294
2018-04,996647.75,6939,6882,143.62988182735265
2018-05,996517.68,6873,6814,144.99020515058928
2018-06,865124.31,6167,6128,140.28284579211936
2018-07,895507.22,6292,6230,142.32473299427843
2018-08,854686.33,6512,6460,131.2479007985258
2018-09,145.0,16,14,9.0625
2018-10,0.0,4,4,0.0
