category,revenue,orders,avg_review
health_beauty,1255544.63,8760,4.17
watches_gifts,1186684.24,5534,4.06
bed_bath_table,1048057.88,9360,3.94
sports_leisure,973647.34,7601,4.17
computers_accessories,904119.32,6626,4.03
furniture_decor,724762.71,6298,4.02
housewares,622028.05,5757,4.15
cool_stuff,616203.65,3566,4.17
auto,586892.02,3852,4.1
garden_tools,477551.27,3454,4.14
toys,471730.1,3795,4.19
baby,413945.58,2843,4.04
perfumery,394840.04,3119,4.21
telephony,316970.88,4144,4.0
office_furniture,270743.03,1259,3.61
stationery,226726.43,2271,4.24
computers,221573.13,180,4.12
pet_shop,213496.5,1695,4.24
musical_instruments,187290.33,613,4.18
small_appliances,183081.34,609,4.22
Unknown,177683.41,1382,3.97
electronics,158208.2,2533,4.08
consoles_games,154441.81,1048,4.07
fashion_bags_accessories,151444.77,1845,4.19
construction_tools_construction,144214.61,736,4.1
luggage_accessories,139377.37,1020,4.34
home_appliances_2,110500.74,230,4.13
home_construction,80521.87,466,4.05
home_appliances,80001.24,762,4.15
agro_industry_and_commerce,72530.47,182,4.02
furniture_living_room,67634.89,408,4.03
fixed_telephony,55411.19,213,3.9
air_conditioning,54906.15,251,3.99
home_confort,53966.98,351,3.9
audio,52255.5,349,3.81
small_appliances_home_oven_and_coffee,47358.55,74,4.34
kitchen_dining_laundry_garden_furniture,45809.49,240,4.05
books_general_interest,45627.66,501,4.49
construction_tools_lights,44170.2,238,4.12
construction_tools_safety,39636.91,159,3.91
industry_commerce_and_business,39397.6,232,4.17
food,28860.65,439,4.27
market_place,27647.83,268,4.06
costruction_tools_garden,24310.44,188,4.25
art,24044.34,198,4.03
fashion_shoes,23204.18,235,4.2
drinks,22895.89,294,4.16
signaling_and_security,21293.43,138,4.08
furniture_bedroom,19589.22,92,4.17
books_technical,18996.92,259,4.36
costruction_tools_tools,15903.95,97,4.29
food_drink,15251.96,223,4.41
fashion_male_clothing,10631.92,109,3.71
fashion_underwear_beach,9541.55,121,3.9
christmas_supplies,8788.84,126,4.04
tablets_printing_image,7275.51,76,4.05
cine_photo,7157.34,65,4.23
music,6138.88,37,4.3
dvds_blu_ray,4574.49,56,4.11
books_imported,4553.35,52,4.38
party_supplies,4405.28,38,4.0
furniture_mattress_and_upholstery,4368.08,38,3.82
fashio_female_clothing,2774.73,38,3.8
fashion_sport,1969.63,24,4.54
la_cuisine,1893.99,11,4.55
arts_and_craftmanship,1846.78,23,4.17
diapers_and_hygiene,1538.79,26,3.85
flowers,1023.34,27,4.37
home_comfort_2,829.27,23,3.78
cds_dvds_musicals,730.0,12,4.67
fashion_childrens_clothes,439.97,5,5.0
security_and_services,283.29,2,2.5
